date|time|description|vendor|amount
2024-01-03|09:05:12|Monthly rent payment|Philly Flats Realty|-1200.00
2024-01-05|14:22:47|Grocery run|Whole Foods|-63.48
2024-01-07|18:30:00|Freelance web design invoice|Client: Nova Startup|2500.00
2024-01-09|11:45:33|New gaming headset|Best Buy|-89.99
2024-01-10|08:15:00|Spotify Premium subscription|Spotify|-9.99
2024-01-12|20:10:55|Dinner with team|Zahav Restaurant|-187.60
2024-01-14|13:00:00|Direct deposit paycheck|Year Up United|1800.00
2024-01-15|10:30:22|Cloud hosting bill|AWS|-42.00
2024-01-17|16:55:10|VR game purchase|Steam|-29.99
2024-01-19|09:00:00|Uber rides for the week|Uber|-34.75
2024-01-21|12:20:00|Sold old laptop|eBay|320.00
2024-01-23|19:45:00|Electric bill|PECO|-98.22
2024-01-25|11:10:05|Online course subscription|Udemy|-16.99
2024-01-27|15:30:00|Coffee shop work session|La Colombe|-11.50
2024-01-31|08:00:00|Bonus payment received|Year Up United|500.00
